work_order_number,job_date,status,priority,job_type,scope_of_work,labor_hours,estimated_cost,actual_cost,technician_name,client_name,service_address,business_name,trade,plan_name,invoice_status,total_due,total_paid_to_date,customer_rating
WO-2026-00001,2026-04-15,completed,routine,Circuit breaker repair,"Performed circuit breaker repair — inspected the affected area, completed the work, and tested everything before leaving the site.",3.05,92.81,84.57,Tariq Silva,Customer 0240,"Minneapolis, MN",Bright Spark Electric,Electrician,Starter,paid,91.76,91.76,3
WO-2026-00002,2026-05-27,completed,routine,Light fixture install,"Light fixture install requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",4.21,567.35,573.21,Tariq Silva,Customer 0240,"Minneapolis, MN",Bright Spark Electric,Electrician,Starter,paid,621.93,621.93,0
WO-2026-00003,2026-04-24,completed,routine,Light fixture install,"Customer requested light fixture install. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",1.34,127.05,131.25,Tariq Silva,Customer 0240,"Minneapolis, MN",Bright Spark Electric,Electrician,Starter,paid,142.41,142.41,4
WO-2026-00004,2026-05-18,completed,emergency,Wiring inspection,"Performed wiring inspection — inspected the affected area, completed the work, and tested everything before leaving the site.",4.23,499.91,552.65,Tariq Silva,Customer 0240,"Minneapolis, MN",Bright Spark Electric,Electrician,Starter,paid,599.63,599.63,0
WO-2026-00005,2026-04-16,completed,scheduled_maintenance,Circuit breaker repair,"Circuit breaker repair requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",4.31,331.8,376.97,Tariq Silva,Customer 0240,"Minneapolis, MN",Bright Spark Electric,Electrician,Starter,paid,390.16,390.16,4
WO-2026-00006,2026-02-14,canceled,routine,Outlet installation,"Scheduled outlet installation visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",3.66,467.37,0,Tariq Silva,Customer 0241,"Phoenix, AZ",Bright Spark Electric,Electrician,Starter,not_invoiced,0,0,0
WO-2026-00007,2026-04-14,completed,routine,Wiring inspection,"Wiring inspection requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",4.74,496.26,559.75,Tariq Silva,Customer 0241,"Phoenix, AZ",Bright Spark Electric,Electrician,Starter,paid,607.33,607.33,0
WO-2026-00008,2026-06-29,completed,routine,Panel upgrade,"Customer requested panel upgrade. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",3.7,612.23,600.9,Tariq Silva,Customer 0241,"Phoenix, AZ",Bright Spark Electric,Electrician,Starter,paid,651.98,651.98,3
WO-2026-00009,2026-02-19,completed,routine,Panel upgrade,"Performed panel upgrade — inspected the affected area, completed the work, and tested everything before leaving the site.",2.4,229.79,255.35,Tariq Silva,Customer 0241,"Phoenix, AZ",Bright Spark Electric,Electrician,Starter,overdue,277.05,125.28,0
WO-2026-00010,2026-07-01,completed,routine,Light fixture install,"Light fixture install requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",4.84,412.34,372.86,Tariq Silva,Customer 0241,"Phoenix, AZ",Bright Spark Electric,Electrician,Starter,overdue,385.91,0,5
WO-2026-00011,2026-04-11,completed,scheduled_maintenance,Light fixture install,"Light fixture install requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",2.8,343.6,320.24,Tariq Silva,Customer 0242,"Raleigh, NC",Bright Spark Electric,Electrician,Starter,paid,347.46,347.46,4
WO-2026-00012,2026-04-14,completed,routine,Circuit breaker repair,"Performed circuit breaker repair — inspected the affected area, completed the work, and tested everything before leaving the site.",3.47,586.11,550.97,Tariq Silva,Customer 0242,"Raleigh, NC",Bright Spark Electric,Electrician,Starter,paid,597.8,597.8,4
WO-2026-00013,2026-03-14,completed,emergency,Circuit breaker repair,"Customer requested circuit breaker repair. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",2.67,622.06,681.54,Tariq Silva,Customer 0242,"Raleigh, NC",Bright Spark Electric,Electrician,Starter,paid,705.39,705.39,4
WO-2026-00014,2026-04-05,completed,routine,Light fixture install,"Light fixture install requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",1.59,322.31,336.23,Tariq Silva,Customer 0242,"Raleigh, NC",Bright Spark Electric,Electrician,Starter,paid,364.81,364.81,5
WO-2026-00015,2026-06-16,completed,routine,Circuit breaker repair,"Performed circuit breaker repair — inspected the affected area, completed the work, and tested everything before leaving the site.",5.82,470.98,463.45,Tariq Silva,Customer 0243,"Austin, TX",Bright Spark Electric,Electrician,Starter,paid,502.84,502.84,4
WO-2026-00016,2026-03-12,completed,routine,Outlet installation,"Scheduled outlet installation visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",5.27,409.5,411.93,Tariq Silva,Customer 0243,"Austin, TX",Bright Spark Electric,Electrician,Starter,paid,446.94,446.94,5
WO-2026-00017,2026-04-01,completed,routine,Light fixture install,"Performed light fixture install — inspected the affected area, completed the work, and tested everything before leaving the site.",3.62,565.47,559.3,Tariq Silva,Customer 0243,"Austin, TX",Bright Spark Electric,Electrician,Starter,paid,606.84,606.84,4
WO-2026-00018,2026-07-02,completed,routine,Panel upgrade,"Panel upgrade requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",5.22,91.3,87.32,Tariq Silva,Customer 0243,"Austin, TX",Bright Spark Electric,Electrician,Starter,paid,94.74,94.74,0
WO-2026-00019,2026-05-01,completed,routine,Light fixture install,"Light fixture install requested by customer. Assessed scope on arrival, completed the work, and walked the customer through what was done.",5.42,512.65,569.88,Tariq Silva,Customer 0243,"Austin, TX",Bright Spark Electric,Electrician,Starter,overdue,618.32,166.58,3
WO-2026-00020,2026-07-10,completed,routine,Light fixture install,"Performed light fixture install — inspected the affected area, completed the work, and tested everything before leaving the site.",4.84,485.18,441.3,Tariq Silva,Customer 0243,"Austin, TX",Bright Spark Electric,Electrician,Starter,overdue,478.81,262.08,0
WO-2026-00021,2026-08-17,completed,scheduled_maintenance,Circuit breaker repair,"Customer requested circuit breaker repair. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",4.87,548.68,566.3,Tariq Silva,Customer 0244,"Portland, OR",Bright Spark Electric,Electrician,Starter,unpaid,614.44,0,0
WO-2026-00022,2026-06-15,completed,scheduled_maintenance,Fixture installation,"Customer requested fixture installation. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",1.87,136.74,140.54,Tariq Haddad,Customer 0245,"Columbus, OH",Reliable Rooter Plumbing,Plumber,Pro,paid,152.49,152.49,4
WO-2026-00023,2026-02-26,completed,routine,Water heater install,"Performed water heater install — inspected the affected area, completed the work, and tested everything before leaving the site.",2.3,173.72,191.26,Yuki Dubois,Customer 0245,"Columbus, OH",Reliable Rooter Plumbing,Plumber,Pro,overdue,207.52,0,3
WO-2026-00024,2026-08-20,scheduled,scheduled_maintenance,Drain cleaning,"Customer requested drain cleaning. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",4.13,678.13,0,Yuki Dubois,Customer 0245,"Columbus, OH",Reliable Rooter Plumbing,Plumber,Pro,not_invoiced,0,0,0
WO-2026-00025,2026-07-20,completed,scheduled_maintenance,Pipe replacement,"Scheduled pipe replacement visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",1.63,787.99,720.28,Yuki Dubois,Customer 0246,"Portland, OR",Reliable Rooter Plumbing,Plumber,Pro,paid,781.5,781.5,0
WO-2026-00026,2026-05-11,completed,routine,Water heater install,"Customer requested water heater install. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",3.58,572.22,631.09,Marcus Kowalski,Customer 0246,"Portland, OR",Reliable Rooter Plumbing,Plumber,Pro,paid,684.73,684.73,0
WO-2026-00027,2026-03-31,completed,emergency,Water heater install,"Performed water heater install — inspected the affected area, completed the work, and tested everything before leaving the site.",1.05,433.63,477.01,Tariq Haddad,Customer 0246,"Portland, OR",Reliable Rooter Plumbing,Plumber,Pro,paid,517.56,517.56,3
WO-2026-00028,2026-08-13,completed,emergency,Pipe replacement,"Scheduled pipe replacement visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",2.39,840.58,916.03,Tariq Haddad,Customer 0246,"Portland, OR",Reliable Rooter Plumbing,Plumber,Pro,paid,993.89,993.89,3
WO-2026-00029,2026-07-27,completed,routine,Pipe replacement,"Customer requested pipe replacement. Diagnosed the issue, completed the repair/installation, and confirmed with the customer that it was resolved.",4.79,873.36,867.36,Tariq Haddad,Customer 0246,"Portland, OR",Reliable Rooter Plumbing,Plumber,Pro,paid,941.09,941.09,0
WO-2026-00030,2026-05-12,completed,routine,Fixture installation,"Scheduled fixture installation visit. Reviewed site conditions, completed the job per standard procedure, and cleaned up the work area.",4.25,798.02,828.73,Yuki Dubois,Customer 0247,"Tampa, FL",Reliable Rooter Plumbing,Plumber,Pro,paid,899.17,899.17,0
